1,12,1
2,53,2
3,23,3
4,32,4
5,6,5
6,13,6
7,54,7
8,65,8
9,33,9
10,7,10
11,14,11
12,55,12
13,66,13
14,34,14
15,8,15
16,15,16
17,56,17
18,67,18
19,8,19
20,15,20
21,56,21
22,67,22
23,35,23
24,9,24
25,16,25
26,57,26
27,68,27
28,9,28
29,16,29
30,57,30
31,68,31
32,36,32
33,10,33
34,17,34
35,58,35
36,69,36
37,10,37
38,17,38
39,58,39
40,69,40
41,37,41
42,11,42
43,18,43
44,59,44
45,70,45
46,11,46
47,18,47
48,59,48
49,70,49
50,38,50
51,12,51
52,19,52
53,60,53
54,71,54
55,12,55
56,19,56
57,60,57
58,71,58
59,39,59
60,13,60
61,20,61
62,61,62
63,72,63
64,13,64
65,20,65
66,61,66
67,72,67
68,40,68
69,14,69
70,21,70
71,62,71
72,73,72
73,14,73
74,21,74
75,62,75
76,73,76
77,41,77
78,15,78
79,22,79
80,63,80
81,74,81
82,15,82
83,22,83
84,63,84
85,74,85
86,42,86
87,16,87
88,23,88
89,64,89
90,75,90
91,16,91
92,23,92
93,64,93
94,75,94
95,43,95
96,17,96
97,24,97
98,65,98
99,76,99
100,17,100
